point_id,latitude,longitude,arrondissement,heat_class,heat_label,total_features,collisions_n,collisions_victimes,collisions_morts,collisions_blesses_graves,collisions_blesses_legers,collisions_gravite_pire,permis_n,permis_logements,permis_types_top,entraves_n,entraves_actives,entraves_raisons_top,entraves_fin_derniere,arbres_n,arbres_especes_top,arbres_dhp_moyen,emplacements_arbres_n
P00849,45.5094,-73.5736,,4,Température plus chaude que la moyenne (à risque),32,32,16,2,0,14,Mortel,0,0,,0,0,,,0,,,0
P00850,45.5094,-73.5734,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,4,0,Transformation combinée(4),0,0,,,0,,,0
P00851,45.5094,-73.5728,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,2,0,Transformation combinée(1); T4:Transf. int. RBQ/NEXEMP(1),0,0,,,0,,,0
P00852,45.5094,-73.5726,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),1,0,0,0,0,0,,1,0,Transformation combinée(1),0,0,,,0,,,0
P00853,45.5094,-73.572,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),3,0,0,0,0,0,,3,0,Transformation combinée(3),0,0,,,0,,,0
P00854,45.5094,-73.5714,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,0,0,,0,0,,,1,Érable argenté(1),28,1
P00855,45.5094,-73.5712,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,0,0,,0,0,,,2,Érable argenté Pyramidal(2),43.5,2
P00856,45.5094,-73.571,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),1,0,0,0,0,0,,1,0,Transformation combinée(1),0,0,,,0,,,0
P00857,45.5094,-73.5708,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),53,52,20,0,0,20,Léger,1,0,Transformation combinée(1),0,0,,,0,,,0
P00858,45.5094,-73.5706,Ville-Marie,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,0,0,,0,0,,,1,Chêne rouge(1),5,1
P00859,45.5094,-73.5682,Ville-Marie,4,Température plus chaude que la moyenne (à risque),1,0,0,0,0,0,,0,0,,1,1,Construction/rénovation sans excavation(1),2026-09-30,0,,,0
P00860,45.5094,-73.568,,4,Température plus chaude que la moyenne (à risque),1,1,0,0,0,0,Dommages matériels,0,0,,0,0,,,0,,,0
P00861,45.5094,-73.5678,Ville-Marie,4,Température plus chaude que la moyenne (à risque),13,0,0,0,0,0,,3,99,Transformation(3),0,0,,,5,Orme japonais du prospecteur(3); Pommetier Prairifire(2),20.2,5
P00862,45.5094,-73.5676,Ville-Marie,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,0,0,,0,0,,,2,Orme japonais du prospecteur(1); Pommetier Prairifire(1),18,2
P00863,45.5094,-73.5666,Ville-Marie,5,Îlot de chaleur,4,0,0,0,0,0,,0,0,,0,0,,,2,Févier 'Northern Acclaim'(1); Févier Shademaster(1),7.5,2
P00864,45.5094,-73.5662,Ville-Marie,4,Température plus chaude que la moyenne (à risque),34,32,13,0,1,12,Grave,0,0,,0,0,,,1,Févier 'Northern Acclaim'(1),5,1
P00865,45.5094,-73.566,Ville-Marie,4,Température plus chaude que la moyenne (à risque),9,0,0,0,0,0,,3,0,Transformation(3),0,0,,,3,Févier Shademaster(3),10,3
P00866,45.5094,-73.5658,Ville-Marie,5,Îlot de chaleur,2,0,0,0,0,0,,0,0,,0,0,,,1,Févier Shademaster(1),10,1
P00867,45.5094,-73.5656,Ville-Marie,5,Îlot de chaleur,4,0,0,0,0,0,,4,0,Travaux extérieurs-intérieurs(2); Transformation(1); Certificat d'autorisation(1),0,0,,,0,,,0
P00868,45.5094,-73.5648,Ville-Marie,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,0,0,,0,0,,,2,Caryer cordiforme(1); Févier d'Amérique(1),5,2
P00869,45.5094,-73.5646,Ville-Marie,4,Température plus chaude que la moyenne (à risque),14,0,0,0,0,0,,0,0,,0,0,,,7,Érable Autumn Blaze(7),5,7
P00870,45.5094,-73.5644,Ville-Marie,4,Température plus chaude que la moyenne (à risque),14,0,0,0,0,0,,0,0,,0,0,,,7,Caryer cordiforme(6); Orme japonais du prospecteur(1),5,7
P00871,45.5094,-73.5642,Ville-Marie,4,Température plus chaude que la moyenne (à risque),11,5,0,0,0,0,Dommages matériels,4,0,Transformation(4),0,0,,,1,Ulmus x 'Frontier'(1),8,1
P00872,45.5094,-73.5632,Ville-Marie,4,Température plus chaude que la moyenne (à risque),20,0,0,0,0,0,,20,0,Travaux intérieurs(8); Transformation(5); Construction(2),0,0,,,0,,,0
P00873,45.5094,-73.563,Ville-Marie,4,Température plus chaude que la moyenne (à risque),9,1,0,0,0,0,Dommages matériels,2,0,Transformation(2),0,0,,,3,Orme de Sibérie(2); Orme Homestead(1),31.3,3
